Seq2Seq20slg,translation
"CHANCELLOR MERKEL TAKE FLIGHT AND SAY DESC-WELL , WHAT DO TREATY SAY ?","chancellor merkel took flight and said well, what does the treaty say?"
WHAT DO COURT JUSTICE AND GERMAN CONSTITUTION SAY ?,what does the court of justice and the german constitution say?
NOBODY HAVE ASK FOR MONEY TO BE PUT ON TABLE .,nobody has asked for money to be put on the table.
"THAT APPLY DESC-NOT DESC-JUST TO GERMANY , BUT TO EUROPEAN UNION AS WHOLE .","that applies not just to germany, but to the european union as a whole."
"ANSWER , OR LACK ANSWER , THAT X-WE HAVE GIVE DESC-SO DESC-FAR BE DESC-NOT DESC-ACCEPTABLE .","the answer, or lack of answer, that we have given so far is not acceptable."
X-WE NEED CARROT AND STICK APPROACH .,we need a carrot and stick approach.
"DESC-HOWEVER , X-WE DESC-ALSO NEED COOPERATION AT EUROPEAN LEVEL , IN DESC-PARTICULAR , TO PREVENT DESC-SUCH PROBLEM ARISE .","however, we also need cooperation at european level, in particular, to prevent such problems arising."
X-I DESC-REFORE EXPECT SUMMIT TO DEMONSTRATE EUROPEAN SOLIDARITY IN ORDER TO CREATE DESC-BETTER FUTURE .,i therefore expect the summit to demonstrate european solidarity in order to create a better future.
"MADAM PRESIDENT , SPRING SUMMIT BE SUPPOSE TO BE ENERGY SUMMIT .","madam president, the spring summit is supposed to be an energy summit."
DESC-GREEN JOB LIE AT HEART EU 2020 STRATEGY .,green jobs lie at the heart of the eu 2020 strategy.
"X-WE BE , DESC-CERTAINLY , DESC-ABLE TO HELP SAFEGUARD DESC-COMMON MARKET FROM PROTECTIONISM .","we are, certainly, able to help safeguard the common market from protectionism."
"DESC-BETTER LEGISLATION BE , COURSE , DESC-PARTICULAR RESPONSIBILITY THIS DESC-VERY HOUSE , THIS PARLIAMENT .","better legislation is, of course, a particular responsibility of this very house, this parliament."
MEMBER STATE WILL REFORM IF X-Y BE EXPOSE TO PRESSURE FROM WORLD ECONOMY .,member states will reform if they are exposed to pressure from the world economy.
"BY BRING IN HARMONISATION IN SE AREA , X-WE BE DESC-ONLY MAINTAIN DESC-ILL EUROPEAN DESC-SOCIAL MODEL .","by bringing in harmonisation in these areas, we are only maintaining the ill european social model."
"X-IT BE FREEDOM , AND DESC-NOT DESC-SUCCESSIVE STRATEGY , WHICH BE DESC-CORRECT RESPONSE TO CRISIS .","it is freedom, and not a successful strategy, which is a correct response to the crisis."
"DESC-NEVERLESS , X-WE HAVE PROBLEM .","nevertheless, we have problems."
"X-WE MUST PUT END TO THIS DESC-NOW , AND DESC-HOPEFULLY X-WE SHALL DO DESC-SO TOMORROW .","we must put an end to this now, and hopefully we shall do so tomorrow."
DESC-RE SHOULD BE EMERGENCY LOAN AND NOTHING MORE .,there should be emergency loans and nothing more.
"MADAM PRESIDENT , X-I HOPE THAT TOMORROW , X-WE SHALL LOOK BEYOND DEBATE ON THIS CRISIS .","madam president, I hope that tomorrow, we shall look beyond the debate on this crisis."
X-I HOPE X-WE SHALL DESC-ALSO LOOK AT MEDIUM AND DESC-LONG TERM SOLUTION .,i hope we shall also look at medium and long term solutions.
X-WE MUST STRENGN PREVENTIVE FORCE STABILITY AND GROWTH PACT .,we must strengthen the preventative force stability and growth pact.
"AFTER ALL , AS MR EK DESC-ALSO SAY , DESC-FREE FOR ALL BE DESC-NOT WAY TO SUCCESS .","after all, as mr ek also said, free for all is not the way to success."
MR MERKEL DESC-ALSO APPEAR TO BE PUSH THING IN THAT DIRECTION .,mr merkel also appears to be pushing things in that direction.
THIS BE PROSPECT THAT AWAIT DESC-OR COUNTRY WHICH MAY APPLY DESC-SUCH MEASURE UNDER DESC-SUCH PRESSURE .,this is a prospect that awaits other countries which may apply such measures under such pressure.
X-I HEAR MR LANGEN INTERPRET TREATY .,i heard mr langen interpret the treaty.
"DESC-YES , DESC-RE BE TREATY , LETTER AND SPIRIT .","yes, there are treaties, letters and miracles."
THAT BE WHY X-WE HAVE TO BE DESC-CREATIVE THAT BE WHY X-WE HAVE TO SHOW SOLIDARITY .,that was why we had to be creative that is why we have to show solidarity.
"THAT ISSUE BE DESC-NOW ON TABLE X-IT BE DESC-SERIOUS , X-IT BE DESC-UNRESOLVED .","that issue is now on the table it is serious, it is unresolved."
X-Y BE DECIDE IN ADVANCE BY DESC-POLITICAL ELITE AND GOVERNMENT MEMBER STATE EUROPEAN UNION .,they are decided in advance by the political elite and the governments of member states of the european union.
"MADAM PRESIDENT , TWO THING .","madam president, two things."
"DESC-FIRST CONCERN PUBLIC FINANCES , AND DESC-SECOND COMPETITIVENESS .","the first concerns public finances, and the second competitiveness."
"DESC-LAST YEAR AT THIS TIME , X-WE BE DISCUSS IN THIS PARLIAMENT HOW TO FACE CRISIS .","last year at this time, we were discussing in this parliament how to face the crisis."
DESC-NOW X-WE SEE RESULT .,now we see the results.
THAT BE REALITY WHICH BE SQUEEZE OUT WELFARE SPENDING AND INVESTMENT IN LOT MEMBER STATE .,that is the reality which is squeezing out welfare spending and investment in a lot of member states.
THAT BE DESC-UP TO HEAD GOVERNMENT TO DO THIS WEEK .,that is up to the heads of government to do this week.
"OR AS MR MCCREEVY SAY WHENEVER POLITICS INTERFERE , RESULT BE DESC-ALWAYS DESC-WORSE .","or as mr mccreevy said whenever politics interferes, the results are always worse."
X-WE HAVE SEE RESULT .,we have seen results.
DESC-INTERNATIONAL FIASCO BE CAUSE OVERINDEBTEDNESS MEMBER STATE EUROPEAN UNION .,international fasco is causing the indebtedness of member states of the european union.
"NO , X-SHE DO DESC-NOT UNDERSTAND X-IT AT ALL .","no, she did not understand it at all."
SE BE DESC-NOT LEADERSHIP SKILL THAT X-WE NEED IN EUROPEAN UNION .,these are not the leadership skills that we need in the european union.
X-WE HAVE TELL COMMISSION DESC-HERE THAT EU 2020 BE DESC-TOO WATER DESC-DOWN .,we have told the commission here that eu 2020 is too water down.
DESC-RE BE NO MEAT IN X-IT .,there is no meat in it.
PLEASE PROVIDE SOME EVIDENCE THAT X-YOU BE DESC-ABLE TO ACQUIRE DESC-NEW FUND .,please provide some evidence that you are able to acquire new funds.
PLEASE FIGHT FOR DESC-FINANCIAL TRANSACTION TAX .,please fight for a financial transaction tax.
STAY DESC-STRONG AND CREATE EUROPEAN INSTRUMENT !,stay strong and create a european instrument!
X-I DESC-ALSO WONDER WHAT DIFFERENCE BE DESC-LAST YEAR WHEN IRELAND FACE DESC-SAME SITUATION AND INSTITUTE DESC-HARD CUT .,i also wonder what the difference was last year when ireland faced the same situation and the institute hard cut.
NOBODY COME DESC-FORWARD AT THAT TIME WITH IDEA CALL ON EUROPEAN DESC-MONETARY FUND .,nobody came forward at that time with the idea of calling on the european monetary fund.
MR VERHOFSTADT SAY THAT SPECULATOR BE AT WORK .,mr verhofstadt said that speculators are at work.
X-WE ITALIAN COLLEAGUE USE RATE ADVANTAGE X-Y GAIN FROM X-Y ACCESSION TO EURO AREA TO CONSOLIDATE .,our italian colleagues use the rate advantage they gain from their accession to the euro area to consolidate.
GREECE CONSUME X-IT .,greece consumes it.
X-I HAVE ONE MORE THOUGHT .,i have one more thought.
X-WE SHOULD TALK DESC-POSITIVELY ABOUT EURO .,we should talk positively about the euro.
X-IT BE DESC-NOT CURRENCY CRISIS THAT X-WE HAVE X-IT BE DESC-ECONOMIC CRISIS .,it is not a currency crisis that we have it is an economic crisis.
EURO BE DESC-MAJOR BENEFIT FOR EVERYONE .,the euro is a major benefit for everyone.
"THAT BE WHY X-I BE IN FAVOR THIS DESC-MAJOR , DESC-STRONG CURRENCY .","that is why I am in favour of this major, strong currency."
"EUROPE 2020 STRATEGY DESC-RIGHTLY STATE THAT GROWTH SHOULD BE DESC-INTELLIGENT , DESC-SUSTAINABLE AND DESC-INCLUSIVE .","the europe 2020 strategy rightly states that growth should be intelligent, sustainable and inclusive."
THIS BE DESC-NEW DEVELOPMENT THAT DESC-REALLY SHOULD BE IMPLEMENT DESC-NOW .,this is a new development that really should be implemented now.
"COURSE , X-WE HAVE BE TALK ABOUT THIS FOR DESC-LONG TIME .","of course, we have been talking about this for a long time."
"THIS WILL DESC-ACTUALLY HELP X-WE TO SAVE COST , REDUCE DEPENDENCY AND SOLVE SERIES PROBLEM .","this will actually help us to save costs, reduce dependency and solve a series of problems."
"ABOVE ALL , X-WE MUST MAKE TARGET 20 % ENERGY SAVINGS DESC-BINDING .","above all, we must make the target of 20 % of energy savings binding."
WHAT BE POINT EUROPE IF DESC-NOT TO HELP GREECE AT THIS TIME ?,what is the point of europe if not to help greece at this time?
"DESC-INDEED , HOW CAN X-Y THINK WAGE THIS BATTLE AGAINST CHANCELLOR MERKEL ?","indeed, how can they think of wage this battle against chanceller merkel?"
X-WE INTERVENTION DESC-REFORE NEED TO BE DESC-FREE ANY SPECULATION .,our intervention therefore needs to be free of any speculation.
X-WE MUST ACT DESC-SWIFTLY TO HELP GREECE .,we must act swiftly to help greece.
EUROPE MUST DO DESC-SO IN INTEREST EUROPE .,europe must do so in the interests of europe.
RO COUNCIL EUROPEAN UNION DESC-ENTHUSIASTICALLY DESC-WELCOME COMMISSION X-POSS EUROPE 2020 COMMUNICATION .,ro the council of the european union enthusiastically welcomes the commission's europe 2020 communication.
X-I THINK THAT X-IT LACK DESC-FINANCIAL CONSISTENCY .,i think that it lacks financial consistency.
X-Y CAN DESC-ALSO PROVIDE EUROPEAN UNION WITH DESC-MUCH SEEK AFTER SECURITY IN BOTH ENERGY AND TRANSPORT SECTOR .,they can also provide the european union with much sought after security in both the energy and transport sectors.
"TODAY , DEBATE REVOLVE AROUND GREECE TOMORROW X-IT WILL DESC-PROBABLY CONCERN ANOR MEMBER STATE .","today, the debate returns around greece tomorrow it will probably concern another member state."
PRESIDENT EUROPEAN COMMISSION SPEAK ABOUT RESPONSIBILITY AND SOLIDARITY .,the president of the european commission spoke about responsibility and solidarity.
X-HE BE DESC-RIGHT .,he is right.
BOTH BE NEED WHEN X-YOU BELONG TO FAMILY DESC-SUCH AS EURO AREA .,both are needed when you belong to a family such as the euro area.
X-I DO DESC-NOT THINK THAT ANYONE CAN DOUBT THAT GREECE HAVE DESC-FULLY ASSUME X-ITS RESPONSIBILITY .,i do not think that anyone can doubt that greece has fully assumed its responsibilities.
"DESC-HOWEVER , X-IT CAN DESC-NOT FACE FURY MARKET DESC-ALONE AT THIS DESC-DIFFICULT STAGE .","however, it cannot face the financial markets alone at this difficult stage."
"EIGHTEEN MONTH DESC-AGO , MARKET BE THREATEN TO BRING DESC-DOWN DESC-GLOBAL ECONOMY .","eighteen months ago, the market was threatened to bring down the global economy."
DESC-SURELY GREECE WILL BE THREATEN TODAY .,surely greece will be threatened today.
"THIS INCLUDE REFORM EFFORT ON LABOR MARKET , BUT X-IT DESC-ALSO INCLUDE DESC-NATIONAL DESC-BUDGETARY POLICY .","this includes reform efforts on the labour market, but it also includes national budgetary policies."
"WHAT BE MORE , X-IT WILL DESC-ONLY SUCCEED IF COMMISSION TAKE LEAD DESC-POLITICALLY .","what is more, it will only succeed if the commission takes the lead politically."
"IN DESC-OR WORD , X-WE DESC-ABSOLUTELY MUST AVOID MISTAKE LISBON STRATEGY .","in other words, we absolutely must avoid a mistake of the lisbon strategy."
X-IT HAVE DESC-OFTEN BE SAY IN PAST THAT STRATEGY COOPERATION THAT CHARACTERISE LISBON STRATEGY FAIL .,it has often been said in the past that the strategy of cooperation that characterises the lisbon strategy fails.
"FROM DESC-ECONOMIC POINT VIEW , X-IT MUST BE REFLECT IN COMMITMENT TO GOVERNANCE .","from an economic point of view, it must be reflected in the commitment to governance."
"DESC-NOW , DESC-HOWEVER , X-IT HAVE DESC-FULLY ASSUME X-ITS RESPONSIBILITY .","now, however, it has fully assumed its responsibilities."
GREEK PEOPLE BE PAY HEAVY PRICE .,the greek people are paying a heavy price.
"DESC-HOWEVER , X-WE MUST DESC-NOT HIDE X-WE HEAD IN SAND .","however, we must not hide our heads in the sand."
GREECE BE DESC-NOT DESC-ONLY COUNTRY IN EMU FACE DESC-SERIOUS PROBLEM .,greece is not the only country in emu facing serious problems.
X-IT BE DESC-NOT DESC-ONLY COUNTRY TO TAKE RECOURSE TO DESC-TOXIC SERVICE DESC-CERTAIN CREDIT INSTITUTION .,it is not only the country to take recourse to the toxic service of certain credit institutions.
"X-IT BE DESC-NOT , NOR WILL X-IT REMAIN , DESC-ONLY TARGET SPECULATOR .","it is not, nor will it remain, only targeted speculators."
X-WE ALL KNOW AND X-WE KNOW DESC-FULL DESC-WELL THAT GREEK ISSUE BE EUROPEAN ISSUE .,we all know and we know full well that the greek issue is a european issue.
"EMU WILL REMAIN MUTILATE WITHOUT MORE COORDINATE DESC-ECONOMIC AND DESC-FISCAL POLICY AND , ABOVE ALL , WITHOUT SOLIDARITY .","emu will remain mutilated without more coordinated economic and fiscal policies and, above all, without solidarity."
"CRISIS , ANY CRISIS BE MOR CHANGE .","the crisis, any crisis is a MOR change."
DESC-CURRENT CRISIS MAY GIVE BIRTH TO DESC-STRONGER EUROPE AND GREECE MAY BE MIDWIFE THAT CHANGE .,the current crisis may give birth to a stronger europe and greece may be the middle of that change.
DESC-SO LET X-WE DESC-NOT SHOOT GREECE DESC-DOWN .,so let us not shoot greece down.
THANK X-YOU FOR X-YOU ATTENTION .,thank you for your attention.
EUROPE X-POSS INTEGRATION PROCESS BE DESC-NOT DESC-IRREVERSIBLE .,europe's integration process is not irreversible.
X-WE SHOULD DESC-NOT BE TALK ABOUT HOW X-WE BE MAKE GERMANY DESC-LESS DESC-COMPETITIVE .,we should not be talking about how we are making germany less competitive.
X-WE MUST DESC-NOW ACKNOWLEDGE THAT THAT BE DESC-MAJOR MISTAKE .,we must now acknowledge that that was a major mistake.
ONE DESC-IMPORTANT ELEMENT WOULD BE FOR X-IT TO CUT DESC-BACK ON X-ITS DESC-MILITARY BUDGET .,one important element would be for it to cut back on its military budget.
"MADAM PRESIDENT , X-I WOULD LIKE TO MAKE POINT THAT X-YOU COULD DESC-NOT MAKE THIS DESC-UP TODAY .","madam president, I would like to make a point that you could not make this up today."
THAT BE DESC-INCREDIBLE .,that is incredible.
WHOLE WORLD BE WATCH EVERY DAY WHAT BE GO ON DESC-HERE .,the whole world is watching every day what is going on here.
X-IT BE DESC-RAPIDLY FAIL .,it is rapidly failing.
X-WE HAVE DESC-ALREADY SEE DESC-GOOD PEOPLE GERMANY SAY THAT X-Y BE DESC-NOT DESC-HAPPY WITH SITUATION .,we have already seen the good people of germany say that they are not happy with the situation.
X-IT BE X-Y CASE .,it is their case.
X-IT BE X-Y CAUSE .,it is their cause.
X-I BE SICKEN BY WHAT X-I HAVE HEAR TODAY FROM DESC-MANY .,i am sickened by what I have heard today from many.
"X-IT BE SELF CENTER OPINION FOR THOSE DESC-OR MEMBER STATE , LOOK AFTER X-MSELVES .","it is a self centred opinion for those other member states, looking after themselves."
GREECE BE PROBLEM AT MOMENT .,greece is a problem at the moment.
X-I FEEL X-IT WILL GO FROM GREECE TO SPAIN AND DESC-N PORTUGAL AND DESC-ITALY AND DESC-SO ON .,i feel it will go from greece to spain and then portugal and italy and so on.
DESC-ROLLERCOASTER WILL START .,the rollercoaster will start.
MARK X-MY WORD PROBLEM BE DESC-HERE TO STAY .,mark my words the problem is here to stay.
"MADAM PRESIDENT , TROUBLE GREECE AND EUROZONE SHOULD DESC-NOT BE SEE AS EXCEPTION .","madam president, the trouble of greece and the eurozone should not be seen as an exception."
"DESC-SINGLE CURRENCY FOR DESC-SUCH DESC-LARGE , DESC-ECONOMICALLY DESC-HETEROGENEOUS REGION WORLD BE SELF DESC-EVIDENTLY DESC-PROBLEMATIC .","the single currency for such large, economically homogenous regions of the world is self evidently problematic."
VALUE CURRENCY SHOULD REFLECT CONDITION STATE X-POSS ECONOMY .,the value of the currency should reflect the condition of the state's economy.
"WHEN ECONOMY THRIVE , VALUE STATE X-POSS CURRENCY WILL TEND TO RISE .","when the economy THRives, the value of the state's currency will tend to rise."
"WHEN ECONOMY FALL INTO RECESSION , VALUE CURRENCY WILL TEND TO FALL .","when the economy falls into recession, the value of the currency will tend to fall."
STATE ECONOMY GREECE REQUIRE DEPRECIATION X-ITS CURRENCY .,the state of the economy of greece requires the deterioration of its currency.
"IF X-IT HAVE EXPERIENCE THAT DEPRECIATION , X-IT WOULD HAVE BENEFIT FROM TOURIST BOOM .","if it had experienced that degradation, it would have benefited from tourist boats."
EURO BE DESC-NOT SOLUTION TO DESC-ECONOMIC PROBLEM WORLD .,the euro is not the solution to the economic problems of the world.
X-IT BE PROBLEM .,it is a problem.
X-IT BE DESC-TRULY IMPRISON IN EUROZONE .,it is truly imprisoned in the eurozone.
THIS SHOULD BE WARN TO COUNTRY OUTSIDE EUROZONE .,this should be a warning to countries outside the eurozone.
JOIN X-IT AT X-YOU PERIL .,join it at your perils.
"DESC-ONCE INSIDE , X-YOU WILL BE LOCK IN FOR DESC-EVER .","once inside, you will be locked in for ever."
"FR MADAM PRESIDENT , X-I HAVE ONE OBSERVATION AND THREE PROPOSAL .","fr madam president, I have one observation and three proposals."
X-MY THREE PROPOSAL CONCERN GREECE X-POSS RECOVERY PLAN .,my three proposals concern greece's recovery plan.
"X-MY DESC-SECOND PROPOSAL CONCERN FINANCE , SINCE X-WE DO DESC-NOT HAVE INSTRUMENT .","my second proposal concerns finance, since we do not have instruments."
"DESC-LASTLY , X-IT HAVE BE SAY THAT GREECE X-POSS ACCOUNTING BE FLAW .","lastly, it has been said that greece's accounting is flawed."
X-IT BE DESC-NOT DESC-ONLY IN GREECE THAT ACCOUNT BE FLAW .,it is not only in greece that accounts are flawed.
X-I THINK X-IT BE DESC-VERY DESC-CLEAR THAT X-WE BE DESC-NOT DESC-JUST GROUP COUNTRY .,i think it is very clear that we are not just a group country.
X-I WOULD LIKE TO THANK ALL X-YOU FOR SUPPORT WHEN X-IT COME TO EU 2020 STRATEGY .,i would like to thank all of you for support when it comes to the eu 2020 strategy.
